concept	sub_concept	dim_id	dim_title	jid	reference	analysis_short
provider-developer	provider	penalties-10-0		tx	Texas HB149 552.105 (a)	In case a person (in this case, a developer) is found to have had the “intent to discriminate” it incurs the following penalties: - Curable Violations: $10,000 – $12,000 per violation. - Incurable Violations: $80,000 – $200,000 per violatio
provider-developer	provider-of-high-risk-ai-systems	term-0-0		co	Colorado SB24-205, 6-1-1701; Colorado SB24-205, 6-1-1704; Colorado SB24-205, 6-1-1702 (4); Colorado SB24-205, 6-1-1702 (2); Colorado SB24-205, 6-1-1702 (3); Colorado SB24-205, 6-1-1702 (5); Colorado SB24-205, 6-1-1706; Colorado Consumer Protection Act	Developer of high-risk AI systems
provider-developer	provider-of-high-risk-ai-systems	scope-1-0		co	Colorado SB24-205, 6-1-1701; Colorado SB24-205, 6-1-1701; Colorado SB24-205, 6-1-1701	A person that develops or substantially modifies an AI system that is substantial factor in a  'consequential decision' (education enrolment or an education opportunity; employment or an employment opportunity; a financial or lending servic
provider-developer	provider-of-high-risk-ai-systems	regulatory-trigger-2-0		co		Outcome-based
provider-developer	provider-of-high-risk-ai-systems	temporal-trigger-3-0		co		Upon making AI system available
provider-developer	provider-of-high-risk-ai-systems	registration-4-0		co		-
provider-developer	provider-of-high-risk-ai-systems	provider-developer-information-5-0		co	CO SB 24-205 §6-1-1702	Make publicly available statement summarising types of high-risk AI systems provided by developer (§6-1-1702)
provider-developer	provider-of-high-risk-ai-systems	compliance-check-6-0		co		-
provider-developer	provider-of-high-risk-ai-systems	transparency-7-0		co	Colorado SB24-205, 6-1-1704	Developer that makes available AI system intended to interact with consumers must disclose AI interaction (§6-1-1704)
provider-developer	provider-of-high-risk-ai-systems	general-information-disclosure-8-0		co	CO SB 24-205 §6-1-1702	Make available to the deployer or other developer, general statement about use of the system, summaries on training data, limitations and risks of algorithmic discrimination, and intended benefits (§6-1-1702)
provider-developer	provider-of-high-risk-ai-systems	specific-information-disclosure-9-0		co	CO SB 24-205 §6-1-1702	Make available to the deployer or other developer, documentation describing model evaluation and measures to mitigate risk of algorithmic discrimination, data governance measures and instructions for system use and monitoring (§6-1-1702)
provider-developer	provider-of-high-risk-ai-systems	risk-management-10-0		co	Colorado SB24-205, 6-1-1702 (4)	Make publicly available statement summarising how risks of algorithmic discrimination are managed (§6-1-1702)
provider-developer	provider-of-high-risk-ai-systems	documentation-keeping-11-0		co		-
provider-developer	provider-of-high-risk-ai-systems	communication-to-deployers-12-0		co	CO SB 24-205 §6-1-1702	Make available information for deployers, other developers or third parties to complete an impact assessment of the AI system (§6-1-1702)
provider-developer	provider-of-high-risk-ai-systems	incident-risk-reporting-13-0		co	CO SB 24-205 §6-1-1702	Report known or foreseeable risks of algorithmic discrimination to attorney general and known developers or providers of the system within 90 days (§6-1-1702)
provider-developer	provider-of-high-risk-ai-systems	rebuttal-15-0		co	Colorado SB24-205, 6-1-1706	60-day opportunity to cure violation and compliance with latest NIST AI Risk Management Framework and ISO/IEC 42001 standards rebuts violation  (§6-1-1706)
provider-developer	provider-of-high-risk-ai-systems	penalties-16-0		co	Colorado Consumer Protection Act	Up to $20K per violation (Colorado Consumer Protection Act)
provider-developer	provider-of-general-purpose-ai-models	term-0-0		ca-0-covered-provider	California SB942, 22757.1. (b); California AB2013, 3110. (b); California SB942, 22757.1. (c); California AB2013, 3110. (c); California SB942, 22757.3. (a); California AB2013, 3111.; California SB942, 22757.4. (a)	Covered provider Developer
provider-developer	provider-of-general-purpose-ai-models	term-0-0		ca-1-developer	California SB942, 22757.1. (b); California AB2013, 3110. (b); California SB942, 22757.1. (c); California AB2013, 3110. (c); California SB942, 22757.3. (a); California AB2013, 3111.; California SB942, 22757.4. (a)	Covered provider Developer
provider-developer	provider-of-general-purpose-ai-models	scope-provider-1-0		ca-0-covered-provider	California SB942, 22757.1. (b); California AB2013, 3110. (b)	Person that produces generative AI system with over 1M monthly visitors (22757.1.) Person that produces or substantially modifies a generative AI system (3110.)
provider-developer	provider-of-general-purpose-ai-models	scope-provider-1-0		ca-1-developer	California SB942, 22757.1. (b); California AB2013, 3110. (b)	Person that produces generative AI system with over 1M monthly visitors (22757.1.) Person that produces or substantially modifies a generative AI system (3110.)
provider-developer	provider-of-general-purpose-ai-models	scope-model-1-1		ca-0-covered-provider	CA SB 942 §22757.1; CA AB 2013 §3110	Person that produces generative AI system with over 1M monthly visitors (22757.1.) Person that produces or substantially modifies a generative AI system (3110.)
provider-developer	provider-of-general-purpose-ai-models	scope-model-1-1		ca-1-developer	CA SB 942 §22757.1; CA AB 2013 §3110	Person that produces generative AI system with over 1M monthly visitors (22757.1.) Person that produces or substantially modifies a generative AI system (3110.)
provider-developer	provider-of-general-purpose-ai-models	scope-system-1-2		ca-0-covered-provider	California SB942, 22757.1. (c); California AB2013, 3110. (c)	Person that produces generative AI system with over 1M monthly visitors (22757.1.) Person that produces or substantially modifies a generative AI system (3110.)
provider-developer	provider-of-general-purpose-ai-models	scope-system-1-2		ca-1-developer	California SB942, 22757.1. (c); California AB2013, 3110. (c)	Person that produces generative AI system with over 1M monthly visitors (22757.1.) Person that produces or substantially modifies a generative AI system (3110.)
provider-developer	provider-of-general-purpose-ai-models	regulatory-trigger-2-0		ca-0-covered-provider		Generation of synthetic content and monthly visitors
provider-developer	provider-of-general-purpose-ai-models	regulatory-trigger-2-0		ca-1-developer		Generation of synthetic content and monthly visitors
provider-developer	provider-of-general-purpose-ai-models	temporal-trigger-3-0		ca-0-covered-provider		Upon deploying a generative AI system Before of concurrently with deploying a frontier model or substantially modified frontier model
provider-developer	provider-of-general-purpose-ai-models	temporal-trigger-3-0		ca-1-developer		Upon deploying a generative AI system Before of concurrently with deploying a frontier model or substantially modified frontier model
provider-developer	provider-of-general-purpose-ai-models	transparency-4-0		ca-0-covered-provider	California SB942, 22757.3. (a)	Put in place a latent disclosure that content is AI-generated; Provide users with the option to include manifest disclosure on AI-generated content (22757.3.)
provider-developer	provider-of-general-purpose-ai-models	transparency-4-0		ca-1-developer	California SB942, 22757.3. (a)	Put in place a latent disclosure that content is AI-generated; Provide users with the option to include manifest disclosure on AI-generated content (22757.3.)
provider-developer	provider-of-general-purpose-ai-models	notification-registration-5-0		ca-0-covered-provider		-
provider-developer	provider-of-general-purpose-ai-models	general-information-disclosure-6-0		ca-0-covered-provider		-
provider-developer	provider-of-general-purpose-ai-models	specific-information-disclosure-7-0		ca-0-covered-provider	CA AB 2013 §3111	Publish on the website high-level summary of datasets used in the development of the generative AI system (3111.)
provider-developer	provider-of-general-purpose-ai-models	specific-information-disclosure-7-0		ca-1-developer	CA AB 2013 §3111	Publish on the website high-level summary of datasets used in the development of the generative AI system (3111.)
provider-developer	provider-of-general-purpose-ai-models	copyright-8-0		ca-0-covered-provider		-
provider-developer	provider-of-general-purpose-ai-models	exemptions-9-0		ca-0-covered-provider	CA SB 53 §22757.11	When information provided in model outputs is publicly accessible; lawful activity of the federal government; harm in combination with other software where the frontier model did not materially contribute (§22757.11)
provider-developer	provider-of-general-purpose-ai-models	penalties-10-0		ca-0-covered-provider	CA SB 942 §22757.4; CA SB 53 §22757.15	$5K per violation (22757.4.) Up to $1M per violation (22757.15.)
provider-developer	provider-of-general-purpose-ai-models	penalties-10-0		ca-1-developer	CA SB 942 §22757.4; CA SB 53 §22757.15	$5K per violation (22757.4.) Up to $1M per violation (22757.15.)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	term-0-0		ca-0-frontier-developer	California SB53, 22757.11. (h); California SB53, 22757.11. (j); California SB53, 22757.12. (c ); California SB53, 22757.12. (d); California SB53, 22757.13. (c ); California SB53, 1107.1. (e ); California SB53, 22757.15.(a)	Frontier developer Large frontier developer
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	term-0-0		ca-1-large-frontier-developer	California SB53, 22757.11. (h); California SB53, 22757.11. (j); California SB53, 22757.12. (c ); California SB53, 22757.12. (d); California SB53, 22757.13. (c ); California SB53, 1107.1. (e ); California SB53, 22757.15.(a)	Frontier developer Large frontier developer
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	term-0-0		ny-0-frontier-developer	New York S8828 (pending), § 1420; New York A6453, § 1420; New York S8828 (pending), § 1426; New York A6453, § 1420; New York S8828 (pending), § 1421; New York S8828 (pending), § 1421; New York A6453, § 1421; New York S8828 (pending), § 1428; New York S8828 (pending), § 1422; New York S8828 (pending), § 1422; New York A6453, § 1421; New York S8828 (pending), § 1427; New York A6453, § 1422	Frontier developer Large frontier developer Large developer
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	term-0-0		ny-1-large-frontier-developer	New York S8828 (pending), § 1420; New York A6453, § 1420; New York S8828 (pending), § 1426; New York A6453, § 1420; New York S8828 (pending), § 1421; New York S8828 (pending), § 1421; New York A6453, § 1421; New York S8828 (pending), § 1428; New York S8828 (pending), § 1422; New York S8828 (pending), § 1422; New York A6453, § 1421; New York S8828 (pending), § 1427; New York A6453, § 1422	Frontier developer Large frontier developer Large developer
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	term-0-0		ny-2-large-developer	New York S8828 (pending), § 1420; New York A6453, § 1420; New York S8828 (pending), § 1426; New York A6453, § 1420; New York S8828 (pending), § 1421; New York S8828 (pending), § 1421; New York A6453, § 1421; New York S8828 (pending), § 1428; New York S8828 (pending), § 1422; New York S8828 (pending), § 1422; New York A6453, § 1421; New York S8828 (pending), § 1427; New York A6453, § 1422	Frontier developer Large frontier developer Large developer
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	scope-provider-1-0		ca-0-frontier-developer	CA SB 53 §22757.11	Person that trained or initiated training of a model using > 10²⁶ FLOPs in compute[2] (22757.11.) > 10²⁶ FLOPs in compute and has > $500M in annual gross revenues (22757.11.)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	scope-provider-1-0		ca-1-large-frontier-developer	CA SB 53 §22757.11	Person that trained or initiated training of a model using > 10²⁶ FLOPs in compute[2] (22757.11.) > 10²⁶ FLOPs in compute and has > $500M in annual gross revenues (22757.11.)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	scope-provider-1-0		ny-0-frontier-developer	NY S8828 §1420	Person that trained or initiated training of a model using > 10²⁶ FLOPs in compute (§ 1420) > 10²⁶ FLOPs in compute and has > 10²⁶ FLOPs and > $1M in compute > $500M in annual gross revenues Or applied knowledge distillation costing > $5M i
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	scope-provider-1-0		ny-1-large-frontier-developer	NY S8828 §1420	Person that trained or initiated training of a model using > 10²⁶ FLOPs in compute (§ 1420) > 10²⁶ FLOPs in compute and has > 10²⁶ FLOPs and > $1M in compute > $500M in annual gross revenues Or applied knowledge distillation costing > $5M i
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	scope-provider-1-0		ny-2-large-developer	NY A6453 §1420	Person that trained or initiated training of a model using > 10²⁶ FLOPs in compute (§ 1420) > 10²⁶ FLOPs in compute and has > 10²⁶ FLOPs and > $1M in compute > $500M in annual gross revenues Or applied knowledge distillation costing > $5M i
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	scope-model-1-1		ca-0-frontier-developer	CA SB 53 §22757.11	Person that trained or initiated training of a model using > 10²⁶ FLOPs in compute[2] (22757.11.) > 10²⁶ FLOPs in compute and has > $500M in annual gross revenues (22757.11.)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	scope-model-1-1		ca-1-large-frontier-developer	CA SB 53 §22757.11	Person that trained or initiated training of a model using > 10²⁶ FLOPs in compute[2] (22757.11.) > 10²⁶ FLOPs in compute and has > $500M in annual gross revenues (22757.11.)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	scope-model-1-1		ny-0-frontier-developer	NY S8828 §1420	Person that trained or initiated training of a model using > 10²⁶ FLOPs in compute (§ 1420) > 10²⁶ FLOPs in compute and has > 10²⁶ FLOPs and > $1M in compute > $500M in annual gross revenues Or applied knowledge distillation costing > $5M i
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	scope-model-1-1		ny-1-large-frontier-developer	NY S8828 §1420	Person that trained or initiated training of a model using > 10²⁶ FLOPs in compute (§ 1420) > 10²⁶ FLOPs in compute and has > 10²⁶ FLOPs and > $1M in compute > $500M in annual gross revenues Or applied knowledge distillation costing > $5M i
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	scope-model-1-1		ny-2-large-developer	NY A6453 §1420	Person that trained or initiated training of a model using > 10²⁶ FLOPs in compute (§ 1420) > 10²⁶ FLOPs in compute and has > 10²⁶ FLOPs and > $1M in compute > $500M in annual gross revenues Or applied knowledge distillation costing > $5M i
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	scope-frontier-developer-1-2		ca-0-frontier-developer	California SB53, 22757.11. (h)	Person that trained or initiated training of a model using > 10²⁶ FLOPs in compute[2] (22757.11.) > 10²⁶ FLOPs in compute and has > $500M in annual gross revenues (22757.11.)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	scope-frontier-developer-1-2		ca-1-large-frontier-developer	California SB53, 22757.11. (h)	Person that trained or initiated training of a model using > 10²⁶ FLOPs in compute[2] (22757.11.) > 10²⁶ FLOPs in compute and has > $500M in annual gross revenues (22757.11.)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	scope-frontier-developer-1-2		ny-0-frontier-developer	New York S8828 (pending), § 1420; New York A6453, § 1420	Person that trained or initiated training of a model using > 10²⁶ FLOPs in compute (§ 1420) > 10²⁶ FLOPs in compute and has > 10²⁶ FLOPs and > $1M in compute > $500M in annual gross revenues Or applied knowledge distillation costing > $5M i
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	scope-frontier-developer-1-2		ny-1-large-frontier-developer	New York S8828 (pending), § 1420; New York A6453, § 1420	Person that trained or initiated training of a model using > 10²⁶ FLOPs in compute (§ 1420) > 10²⁶ FLOPs in compute and has > 10²⁶ FLOPs and > $1M in compute > $500M in annual gross revenues Or applied knowledge distillation costing > $5M i
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	scope-frontier-developer-1-2		ny-2-large-developer	New York S8828 (pending), § 1420; New York A6453, § 1420	Person that trained or initiated training of a model using > 10²⁶ FLOPs in compute (§ 1420) > 10²⁶ FLOPs in compute and has > 10²⁶ FLOPs and > $1M in compute > $500M in annual gross revenues Or applied knowledge distillation costing > $5M i
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	scope-large-frontier-developer-1-3		ca-0-frontier-developer	California SB53, 22757.11. (j)	Person that trained or initiated training of a model using > 10²⁶ FLOPs in compute[2] (22757.11.) > 10²⁶ FLOPs in compute and has > $500M in annual gross revenues (22757.11.)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	scope-large-frontier-developer-1-3		ca-1-large-frontier-developer	California SB53, 22757.11. (j)	Person that trained or initiated training of a model using > 10²⁶ FLOPs in compute[2] (22757.11.) > 10²⁶ FLOPs in compute and has > $500M in annual gross revenues (22757.11.)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	scope-large-frontier-developer-1-3		ny-0-frontier-developer	New York S8828 (pending), § 1420	Person that trained or initiated training of a model using > 10²⁶ FLOPs in compute (§ 1420) > 10²⁶ FLOPs in compute and has > 10²⁶ FLOPs and > $1M in compute > $500M in annual gross revenues Or applied knowledge distillation costing > $5M i
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	scope-large-frontier-developer-1-3		ny-1-large-frontier-developer	New York S8828 (pending), § 1420	Person that trained or initiated training of a model using > 10²⁶ FLOPs in compute (§ 1420) > 10²⁶ FLOPs in compute and has > 10²⁶ FLOPs and > $1M in compute > $500M in annual gross revenues Or applied knowledge distillation costing > $5M i
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	scope-large-frontier-developer-1-3		ny-2-large-developer	New York S8828 (pending), § 1420	Person that trained or initiated training of a model using > 10²⁶ FLOPs in compute (§ 1420) > 10²⁶ FLOPs in compute and has > 10²⁶ FLOPs and > $1M in compute > $500M in annual gross revenues Or applied knowledge distillation costing > $5M i
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	regulatory-trigger-2-0		ca-0-frontier-developer		Compute Compute and revenue
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	regulatory-trigger-2-0		ca-1-large-frontier-developer		Compute Compute and revenue
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	regulatory-trigger-2-0		ny-0-frontier-developer		Compute Compute and revenue Compute and cost
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	regulatory-trigger-2-0		ny-1-large-frontier-developer		Compute Compute and revenue Compute and cost
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	regulatory-trigger-2-0		ny-2-large-developer		Compute Compute and revenue Compute and cost
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	temporal-trigger-3-0		ca-0-frontier-developer		Before of concurrently with deploying a frontier model or substantially modified frontier model
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	temporal-trigger-3-0		ny-0-frontier-developer		Before of concurrently with deploying a frontier model or substantially modified frontier model Prior to deploying frontier model
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	temporal-trigger-3-0		ny-1-large-frontier-developer		Before of concurrently with deploying a frontier model or substantially modified frontier model Prior to deploying frontier model
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	notification-registration-4-0		ca-0-frontier-developer		-
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	notification-registration-4-0		ny-0-frontier-developer	NY S8828 §1428	Fill and renew every two years a disclosure statement and pay required share with the office (§ 1428)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	notification-registration-4-0		ny-1-large-frontier-developer	NY S8828 §1428	Fill and renew every two years a disclosure statement and pay required share with the office (§ 1428)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	notification-registration-4-0		ny-2-large-developer	NY S8828 §1428	Fill and renew every two years a disclosure statement and pay required share with the office (§ 1428)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	general-information-disclosure-5-0		ca-0-frontier-developer	CA SB 53 §22757.12	Publish on website general model / data description (22757.12.)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	general-information-disclosure-5-0		ny-0-frontier-developer	NY S8828 §1421	Publish on website general model / data description (§ 1421)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	general-information-disclosure-5-0		ny-1-large-frontier-developer	NY S8828 §1421	Publish on website general model / data description (§ 1421)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	specific-information-disclosure-6-0		ca-0-frontier-developer	CA SB 53 §22757.12	Publish on website Frontier AI Framework, including summaries of assessment of catastrophic risks, results, mitigation measures and extent of involvement of third-party evaluators (22757.12.)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	specific-information-disclosure-6-0		ca-1-large-frontier-developer	CA SB 53 §22757.12	Publish on website Frontier AI Framework, including summaries of assessment of catastrophic risks, results, mitigation measures and extent of involvement of third-party evaluators (22757.12.)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	specific-information-disclosure-6-0		ny-0-frontier-developer	NY S8828 §1421	Publish on website Frontier AI Framework, including summaries of assessment of catastrophic risks, results, mitigation measures and extent of involvement of third-party evaluators (22757.12.) Publish copy of Safety and Security Protocol (§ 
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	specific-information-disclosure-6-0		ny-1-large-frontier-developer	NY S8828 §1421	Publish on website Frontier AI Framework, including summaries of assessment of catastrophic risks, results, mitigation measures and extent of involvement of third-party evaluators (22757.12.) Publish copy of Safety and Security Protocol (§ 
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	specific-information-disclosure-6-0		ny-2-large-developer	NY A6453 §1421	Publish on website Frontier AI Framework, including summaries of assessment of catastrophic risks, results, mitigation measures and extent of involvement of third-party evaluators (22757.12.) Publish copy of Safety and Security Protocol (§ 
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	risk-management-7-0		ca-0-frontier-developer	CA SB 53 §22757.12	Implement Frontier AI Framework (22757.12.)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	risk-management-7-0		ca-1-large-frontier-developer	CA SB 53 §22757.12	Implement Frontier AI Framework (22757.12.)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	risk-management-7-0		ny-0-frontier-developer	NY S8828 §1422	Report assessment of catastrophic risk every 3 months ( § 1422)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	risk-management-7-0		ny-1-large-frontier-developer	NY S8828 §1422	Report assessment of catastrophic risk every 3 months ( § 1422)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	risk-management-7-0		ny-2-large-developer	NY A6453 §1422	Report assessment of catastrophic risk every 3 months ( § 1422)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	risk-management-review-8-0		ca-0-frontier-developer	CA SB 53 §22757.12	Review Frontier AI Framework at least once per year (22757.12.)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	risk-management-review-8-0		ca-1-large-frontier-developer	CA SB 53 §22757.12	Review Frontier AI Framework at least once per year (22757.12.)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	risk-management-review-8-0		ny-0-frontier-developer	NY S8828 §1421	Review Frontier AI Framework at least once per year (§ 1421) Annual review of Safety and Security Protocol (§ 1421)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	risk-management-review-8-0		ny-1-large-frontier-developer	NY S8828 §1421	Review Frontier AI Framework at least once per year (§ 1421) Annual review of Safety and Security Protocol (§ 1421)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	risk-management-review-8-0		ny-2-large-developer	NY A6453 §1421	Review Frontier AI Framework at least once per year (§ 1421) Annual review of Safety and Security Protocol (§ 1421)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	risk-management-reporting-9-0		ca-0-frontier-developer	CA SB 53 §22757.12	Report assessment of catastrophic risk every 3 months (22757.12.)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	risk-management-reporting-9-0		ca-1-large-frontier-developer	CA SB 53 §22757.12	Report assessment of catastrophic risk every 3 months (22757.12.)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	risk-management-reporting-9-0		ny-0-frontier-developer	NY S8828 §1422	Report assessment of catastrophic risk every 3 months ( § 1422)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	risk-management-reporting-9-0		ny-1-large-frontier-developer	NY S8828 §1422	Report assessment of catastrophic risk every 3 months ( § 1422)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	risk-management-reporting-9-0		ny-2-large-developer	NY A6453 §1422	Report assessment of catastrophic risk every 3 months ( § 1422)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	copyright-10-0		ca-0-frontier-developer		-
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	copyright-10-0		ny-0-frontier-developer		-
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	incident-reporting-11-0		ca-0-frontier-developer	California SB53, 22757.13. (c )	Within 24 hours to 15 days, depending on severity (22757.13.)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	incident-reporting-11-0		ca-1-large-frontier-developer	California SB53, 22757.13. (c )	Within 24 hours to 15 days, depending on severity (22757.13.)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	incident-reporting-11-0		ny-0-frontier-developer	NY S8828 §1422; NY S8828 §1421	Within 24 hours to 72 hours, depending on severity (§ 1422) Within 72 hours (§ 1421)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	incident-reporting-11-0		ny-1-large-frontier-developer	NY S8828 §1422; NY S8828 §1421	Within 24 hours to 72 hours, depending on severity (§ 1422) Within 72 hours (§ 1421)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	exemptions-12-0		ca-0-frontier-developer	CA SB 53 §22757.11	When information provided in model outputs is publicly accessible; lawful activity of the federal government; harm in combination with other software where the frontier model did not materially contribute (§22757.11)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	exemptions-12-0		ny-0-frontier-developer	New York S8828 (pending), § 1426; New York A6453, § 1420	Accredited colleges/universities (§1426)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	exemptions-12-0		ny-1-large-frontier-developer	New York S8828 (pending), § 1426; New York A6453, § 1420	Accredited colleges/universities (§1426)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	exemptions-12-0		ny-2-large-developer	New York S8828 (pending), § 1426; New York A6453, § 1420	Accredited colleges/universities (§1426)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	whistleblower-protections-13-0		ca-0-frontier-developer	CA SB 53 §1107.1	Implement mechanisms for anonymous disclosure of information (1107.1.)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	whistleblower-protections-13-0		ca-1-large-frontier-developer	CA SB 53 §1107.1	Implement mechanisms for anonymous disclosure of information (1107.1.)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	whistleblower-protections-13-0		ny-0-frontier-developer		-
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	penalties-14-0		ca-0-frontier-developer	California SB53, 22757.15.(a)	Up to $1M per violation (22757.15.)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	penalties-14-0		ca-1-large-frontier-developer	California SB53, 22757.15.(a)	Up to $1M per violation (22757.15.)
provider-developer	provider-of-general-purpose-ai-models-with-systemic-risk	penalties-14-0		ny-0-frontier-developer	New York S8828 (pending), § 1427; New York A6453, § 1422	Up to $1M for first violation; up to $3M per subsequent violation (§ 1427) Up to $10M for first violation; up to $30M per subsequent violation (§ 1422)
