source_tracker,title,funder,category,amount_min,amount_max,amount_raw,currency,deadline,rolling,status,url,description,thematic_fit,broken_url,date_added,last_seen
ai-agents,The Alignment Project — Round 2 (Summer 2026 reopening),UK AI Security Institute (AISI) and international coalition,Government,27000000.0,27000000.0,"Up to $27,000,000",USD,,1,active,https://alignmentproject.aisi.gov.uk/,"Global alignment fund (round 1 disbursed >£27M to 60+ projects). Funds AI alignment research including evaluation-focused work on frontier model behaviour, deceptive alignment detection, and oversight mechanisms. Coalition includes AISI, CAISI, OpenAI, Microsoft, AWS, Anthropic, Schmidt Sciences, ARIA.",4,0,2026-04-14T12:18:55+00:00,2026-04-14T12:18:55+00:00
ai-agents,"AI Act Technical Assistance for AI Safety (Call for Tenders, incl. Lot 6 Agentic Evaluations)",European Commission AI Office,Government,,,Budget per lot not yet published on announcement page; tender forthcoming,USD,,1,open,https://digital-strategy.ec.europa.eu/en/news/forthcoming-call-tenders-artificial-intelligence-act-technical-assistance-ai-safety,"Forthcoming tender supporting monitoring of compliance and assessment of systemic risks from general-purpose AI models. Split into 6 lots including CBRN, cyber, loss of control, manipulation, sociotechnical, and Lot 6 specifically on agentic evaluations.",5,0,2026-04-14T12:18:55+00:00,2026-04-14T12:18:55+00:00
ai-agents,"SecureAI: Enhancing the Security, Privacy and Robustness of AI Models and Systems",European Commission / ECCC (Horizon Europe Cluster 3),Government,21200000.0,21200000.0,"Up to $21,200,000",USD,,1,open,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL3-2026-02-CS-ECCC-02,"Call focused on resilience of AI systems against adversarial attacks, backdoor injection, data poisoning. Robustness evaluation methodology and red-teaming are in-scope.",3,0,2026-04-14T12:18:55+00:00,2026-04-14T12:18:55+00:00
ai-agents,2026 AI Interpretability RFP (Pilot),Schmidt Sciences,Foundation,1000000.0,1000000.0,"Up to $1,000,000",USD,,1,open,https://schmidtsciences.smapply.io/prog/2026_interpretability_rfp/,Supports interpretability research including a red-team/blue-team competition to detect deceptive behaviors in LLMs. Interpretability-as-evaluation angle: measuring whether models produce deceptive reasoning/communication beyond surface benchmark scores.,4,0,2026-04-14T12:18:55+00:00,2026-04-14T12:18:55+00:00
ai-agents,"Horizon Europe Cluster 4 — 2026-04 Digital, Industry & Space Call (AI topics)",European Commission / HaDEA,Government,221800000.0,221800000.0,"Up to $221,800,000",USD,2026-04-15,0,active,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/calls-for-proposals?callIdentifier=HORIZON-CL4-2026-04,Cluster 4 2026-04 Digital call (€221.8M across 15 topics) including AI topics with required benchmarking and evaluation deliverables in line with the Apply AI strategy. Several AI topics request explicit measurement of progress.,3,0,2026-04-14T12:18:55+00:00,2026-04-14T12:18:55+00:00
ai-agents,Next-Generation AI Agents for Real-World Applications (Apply AI),European Commission / HaDEA (Horizon Europe Cluster 4),Government,4.0,2026.0,Budget per project indicative; part of CL4 2026 Digital calls (total CL4 2026 Digital calls published Jan 2026),USD,2026-04-15,0,open,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL4-2026-05-DIGITAL-EMERGING-02,"Calls for next-gen AI agents with explicit requirement for mechanisms to assess progress, including qualitative/quantitative KPIs, benchmarking and progress monitoring. Evaluation component is mandatory.",3,0,2026-04-14T12:18:55+00:00,2026-04-14T12:18:55+00:00
ai-agents,SFF-2026 S-Process Main Round,Survival and Flourishing Fund,Foundation,40000000.0,40000000.0,"Up to $40,000,000",USD,2026-04-22,0,open,https://survivalandflourishing.fund/2026/application,"Annual S-Process grant round for AI safety, alignment and governance projects. Evaluation work on frontier model assessment is in-scope as part of the technical AI safety portfolio.",3,0,2026-04-14T12:18:55+00:00,2026-04-14T12:18:55+00:00
ai-agents,Google.org Impact Challenge: AI for Science,Google.org,Corporate,500000.0,3000000.0,"$500,000 - $3,000,000",USD,2026-05-01,0,new,https://www.google.org/impact-challenges/ai-science/,"Funding between $500K and $3M USD for organizations using generative AI and agentic capabilities to tackle pressing scientific challenges. Optional Google.org Accelerator participation. Applications close May 1, 2026.",3,0,2026-04-14T12:18:55+00:00,2026-04-14T12:18:55+00:00
ai-agents,2026 Science of Trustworthy AI RFP,Schmidt Sciences,Foundation,5000000.0,5000000.0,5000000+,USD,2026-05-17,0,open,https://www.schmidtsciences.org/opportunity/2026-science-of-trustworthy-ai-rfp/,"Technical research on foundations of AI safety, interpretability, risk prediction. Explicit pillar on 'advancing the science of evaluations with decision-relevant construct and predictive validity.' Directly funds work on measurement gaps, saturation, and decision-relevance of benchmarks.",5,0,2026-04-14T12:18:55+00:00,2026-04-14T12:18:55+00:00
ai-agents,DIGITAL-2026-AI-09-VIRTUAL-TESTBEDS-STEP,European Commission (Digital Europe Programme),Government,9000000.0,9000000.0,"Up to $9,000,000",USD,2026-10-01,0,open,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/calls-for-proposals?callIdentifier=DIGITAL-2026-AI-09,Virtual worlds / XR testbeds under AI Testing & Experimentation Facilities umbrella. Builds large-scale infrastructure for testing AI systems in real-world conditions - evaluation infrastructure for frontier systems in deployment settings.,3,0,2026-04-14T12:18:55+00:00,2026-04-14T12:18:55+00:00
