"status","concept_id","sub_concept_id","jid","dim_label","term_html","term_excel","html_analysis","excel_analysis","sheet","addr","linked_articles","link_statuses","link_status"
"match","deployer-supplier","deployer","tx","Regulatory trigger","Deployer","Deployer","Upon request by attorney general, following investigative demand (552.103.)
And, in the case of governmental agencies and healthcare providers, upon deploying the AI system (552.051.)","Upon request by attorney general, following investigative demand (552.103.)
And, in the case of governmental agencies and healthcare providers, upon deploying the AI system (552.051.)","Deployer_Supplier_Analysis","D5","tx-hb149:552.103;tx-hb149:552.051","verbatim_found;verbatim_found","verbatim_found"
"match","deployer-supplier","deployer","tx","Risk management","Deployer","Deployer","High-level description of the post-deployment monitoring and user safeguards (552.103.)","High-level description of the post-deployment monitoring and user safeguards (552.103.)","Deployer_Supplier_Analysis","D11","tx-hb149:552.103","verbatim_found","verbatim_found"
"match","deployer-supplier","deployer","tx","Scope","Deployer","Deployer","Person who makes AI system available for use (A552.001.)","Person who makes AI system available for use (A552.001.)","Deployer_Supplier_Analysis","D4","tx-hb149:552.001","verbatim_found","verbatim_found"
"missing_in_excel","deployer-supplier","deployer","tx","Term","Deployer","","Deployer","","","","tx-hb149:552.001;tx-hb149:552.051;tx-hb149:552.103;tx-hb149:552.104;tx-hb149:552.105","verbatim_found;verbatim_found;verbatim_found;verbatim_found;verbatim_found","verbatim_found"
"match","deployer-supplier","deployer","tx","Transparency","Deployer","Deployer","Government agencies and providers of healthcare services must disclose AI interaction to consumers (552.051.)","Government agencies and providers of healthcare services must disclose AI interaction to consumers (552.051.)","Deployer_Supplier_Analysis","D8","tx-hb149:552.051","verbatim_found","verbatim_found"
"match","deployer-supplier","deployer-of-general-purpose-ai-systems","eu","AI literacy","Deployer of general-purpose AI systems","Deployer of GPAI systems","Deployers must ensure people operating / using AI systems on their behalf have a sufficient level of AI literacy (Article 4)","Deployers must ensure people operating / using AI systems on their behalf have a sufficient level of AI literacy (Article 4)","Deployer_Supplier_Analysis","B61","eu-ai-act:4","verbatim_found","verbatim_found"
"match","deployer-supplier","deployer-of-general-purpose-ai-systems","eu","Penalties","Deployer of general-purpose AI systems","Deployer of GPAI systems","Up to €15M or 3% of total worldwide annual turnover
Up to €7M or 1% of total worldwide annual turnover for incorrect information (Article 99)","Up to €15M or 3% of total worldwide annual turnover
Up to €7M or 1% of total worldwide annual turnover for incorrect information (Article 99)","Deployer_Supplier_Analysis","B62","eu-ai-act:99","verbatim_found","verbatim_found"
"match","deployer-supplier","deployer-of-general-purpose-ai-systems","eu","Regulatory trigger","Deployer of general-purpose AI systems","Deployer of GPAI systems","System-based","System-based","Deployer_Supplier_Analysis","B56","","",""
"match","deployer-supplier","deployer-of-general-purpose-ai-systems","eu","Scope","Deployer of general-purpose AI systems","Deployer of GPAI systems","Natural or legal persons using a general-purpose AI system in a professional capacity (excludes personal, non-professional use). A GPAI system is based on a GPAI model and serves multiple purposes (Article 3)","Natural or legal persons using a general-purpose AI system in a professional capacity (excludes personal, non-professional use). A GPAI system is based on a GPAI model and serves multiple purposes (Article 3)","Deployer_Supplier_Analysis","B55","eu-ai-act:3","verbatim_found","verbatim_found"
"match","deployer-supplier","deployer-of-general-purpose-ai-systems","eu","Temporal trigger","Deployer of general-purpose AI systems","Deployer of GPAI systems","Before putting into service or using a high-risk AI system","Before putting into service or using a high-risk AI system","Deployer_Supplier_Analysis","B57","","",""
"missing_in_excel","deployer-supplier","deployer-of-general-purpose-ai-systems","eu","Term","Deployer of general-purpose AI systems","","Deployer of GPAI systems","","","","eu-ai-act:3;eu-ai-act:50;eu-ai-act:4;eu-ai-act:99","verbatim_found;verbatim_found;verbatim_found;verbatim_found","verbatim_found"
"match","deployer-supplier","deployer-of-general-purpose-ai-systems","eu","Transparency","Deployer of general-purpose AI systems","Deployer of GPAI systems","Deployers must inform natural persons that they are subject to the use of high-risk systems (Article 26)
Deployers of high-risk AI system that generates or manipulates content must disclose that content has been artificially generated or manipulated (Article 50)","Deployers must inform natural persons that they are subject to the use of high-risk systems (Article 26)
Deployers of high-risk AI system that generates or manipulates content must disclose that content has been artificially generated or manipulated (Article 50)","Deployer_Supplier_Analysis","B58","eu-ai-act:50","verbatim_found","verbatim_found"
"match","deployer-supplier","deployer-of-general-purpose-ai-systems","ut","AI literacy","Supplier of generative AI systems","Supplier of generative AI systems","-","-","Deployer_Supplier_Analysis","C61","","",""
"match","deployer-supplier","deployer-of-general-purpose-ai-systems","ut","Penalties","Supplier of generative AI systems","Supplier of generative AI systems","Up to $2.5K per violation (§13-75-105)","Up to $2.5K per violation (§13-75-105)","Deployer_Supplier_Analysis","C62","ut-sb226:13-75-105","no_verbatim","no_verbatim"
"match","deployer-supplier","deployer-of-general-purpose-ai-systems","ut","Regulatory trigger","Supplier of generative AI systems","Supplier of generative AI systems","System-based","System-based","Deployer_Supplier_Analysis","C56","","",""
"match","deployer-supplier","deployer-of-general-purpose-ai-systems","ut","Scope","Supplier of generative AI systems","Supplier of generative AI systems","A supplier that uses a generative AI system to interact with a consumer (§13-75-101, §13-75-103; Utah Code)","A supplier that uses a generative AI system to interact with a consumer (§13-75-101, §13-75-103; Utah Code)","Deployer_Supplier_Analysis","C55","ut-sb226:13-75-101","no_verbatim","no_verbatim"
"match","deployer-supplier","deployer-of-general-purpose-ai-systems","ut","Temporal trigger","Supplier of generative AI systems","Supplier of generative AI systems","At the start of an individual's interaction","At the start of an individual's interaction","Deployer_Supplier_Analysis","C57","","",""
"missing_in_excel","deployer-supplier","deployer-of-general-purpose-ai-systems","ut","Term","Supplier of generative AI systems","","Supplier of generative AI systems","","","","ut-sb226:13-75-101;ut-sb226:13-75-103;ut-sb226:13-75-104;ut-sb226:13-75-105","no_verbatim;no_verbatim;no_verbatim;no_verbatim","no_verbatim"
"match","deployer-supplier","deployer-of-general-purpose-ai-systems","ut","Transparency","Supplier of generative AI systems","Supplier of generative AI systems","Upon request by the individual, supplier must disclose individual is interacting with a generative AI system (§13-75-103)","Upon request by the individual, supplier must disclose individual is interacting with a generative AI system (§13-75-103)","Deployer_Supplier_Analysis","C58","ut-sb226:13-75-103","no_verbatim","no_verbatim"
"match","deployer-supplier","deployer-of-high-risk-ai-systems","co","AI literacy","Deployer of high-risk AI systems","Deployer of high-risk AI systems","-","-","Deployer_Supplier_Analysis","C42","","",""
"match","deployer-supplier","deployer-of-high-risk-ai-systems","co","Cooperation with authorities","Deployer of high-risk AI systems","Deployer of high-risk AI systems","Deployers must disclose information to attorney general within 90 days (§6-1-1703)","Deployers must disclose information to attorney general within 90 days (§6-1-1703)","Deployer_Supplier_Analysis","C43","co-sb24205:6-1-1703","verbatim_found","verbatim_found"
"missing_in_html","deployer-supplier","deployer-of-high-risk-ai-systems","co","Deployers of GPAI systems / Supplier of generative AI systems","","Deployer of high-risk AI systems","","Utah (SB226)","Deployer_Supplier_Analysis","C53","","",""
"match","deployer-supplier","deployer-of-high-risk-ai-systems","co","Exemptions","Deployer of high-risk AI systems","Deployer of high-risk AI systems","If deployer employs fewer than 50 full-time equivalent employees and does not use own data to train the AI system (§6-1-1703)","If deployer employs fewer than 50 full-time equivalent employees and does not use own data to train the AI system (§6-1-1703)","Deployer_Supplier_Analysis","C46","co-sb24205:6-1-1703","verbatim_found","verbatim_found"
"match","deployer-supplier","deployer-of-high-risk-ai-systems","co","General information disclosure","Deployer of high-risk AI systems","Deployer of high-risk AI systems","Make publicly available statement summarising types of high-risk AI systems deployed by the deployer, how it manages risks of algorithmic discrimination and data collection (§6-1-1703)","Make publicly available statement summarising types of high-risk AI systems deployed by the deployer, how it manages risks of algorithmic discrimination and data collection (§6-1-1703)","Deployer_Supplier_Analysis","C29","co-sb24205:6-1-1703","verbatim_found","verbatim_found"
"match","deployer-supplier","deployer-of-high-risk-ai-systems","co","Human oversight","Deployer of high-risk AI systems","Deployer of high-risk AI systems","-","-","Deployer_Supplier_Analysis","C40","","",""
"match","deployer-supplier","deployer-of-high-risk-ai-systems","co","Impact assessment","Deployer of high-risk AI systems","Deployer of high-risk AI systems","Complete impact assessment of high-risk AI system describing: intended purpose, context of deployment, benefits and limitations; analysis of know or foreseeable risks of algorithmic discrimination and measures to mitigate these; system evaluation metrics; categories of data used by deployer to customise AI system; implemented transparency measures; post-deployment monitoring; user safeguards, including oversight measures (§6-1-1703)","Complete impact assessment of high-risk AI system describing: intended purpose, context of deployment, benefits and limitations; analysis of know or foreseeable risks of algorithmic discrimination and measures to mitigate these; system evaluation metrics; categories of data used by deployer to customise AI system; implemented transparency measures; post-deployment monitoring; user safeguards, including oversight measures (§6-1-1703)","Deployer_Supplier_Analysis","C30","co-sb24205:6-1-1703","verbatim_found","verbatim_found"
"match","deployer-supplier","deployer-of-high-risk-ai-systems","co","Impact assessment - review","Deployer of high-risk AI systems","Deployer of high-risk AI systems","Deployment of AI system must be reviewed annually or within 90 days after any intentional and substantial modification (§6-1-1703)","Deployment of AI system must be reviewed annually or within 90 days after any intentional and substantial modification (§6-1-1703)","Deployer_Supplier_Analysis","C33","co-sb24205:6-1-1703","verbatim_found","verbatim_found"
"match","deployer-supplier","deployer-of-high-risk-ai-systems","co","Incident / risk reporting","Deployer of high-risk AI systems","Deployer of high-risk AI systems","Report algorithmic discrimination to attorney general within 90 days (§6-1-1703)","Report algorithmic discrimination to attorney general within 90 days (§6-1-1703)","Deployer_Supplier_Analysis","C44","co-sb24205:6-1-1703","verbatim_found","verbatim_found"
"match","deployer-supplier","deployer-of-high-risk-ai-systems","co","Notification","Deployer of high-risk AI systems","Deployer of high-risk AI systems","-","-","Deployer_Supplier_Analysis","C34","","",""
"match","deployer-supplier","deployer-of-high-risk-ai-systems","co","Penalties","Deployer of high-risk AI systems","Deployer of high-risk AI systems","Up to $20K per violation; $50K per violation if committed against an elderly person (Colorado Consumer Protection Act)","Up to $20K per violation; $50K per violation if committed against an elderly person (Colorado Consumer Protection Act)","Deployer_Supplier_Analysis","C47","","",""
"match","deployer-supplier","deployer-of-high-risk-ai-systems","co","Rebuttal","Deployer of high-risk AI systems","Deployer of high-risk AI systems","60-day opportunity to cure first violation and compliance with latest NIST AI Risk Management Framework and ISO/IEC 42001 standards rebuts violation  (§6-1-1706)","60-day opportunity to cure first violation and compliance with latest NIST AI Risk Management Framework and ISO/IEC 42001 standards rebuts violation  (§6-1-1706)","Deployer_Supplier_Analysis","C45","co-sb24205:6-1-1706","verbatim_found","verbatim_found"
"match","deployer-supplier","deployer-of-high-risk-ai-systems","co","Registration","Deployer of high-risk AI systems","Deployer of high-risk AI systems","-","-","Deployer_Supplier_Analysis","C26","","",""
"match","deployer-supplier","deployer-of-high-risk-ai-systems","co","Regulatory trigger","Deployer of high-risk AI systems","Deployer of high-risk AI systems","Outcome-based","Outcome-based","Deployer_Supplier_Analysis","C24","","",""
"match","deployer-supplier","deployer-of-high-risk-ai-systems","co","Right to explanation","Deployer of high-risk AI systems","Deployer of high-risk AI systems","In case high-risk AI system was deployed or was a substantial factor in making a decision adverse to a consumer, the deployer must 1) disclose how AI system contributed to the decision, type and source of data processed; 2) provide opportunity for consumer to correct incorrect personal data used in decision-making; and 3) provide opportunity for consumer to appeal the decision and, if possible, allow for human review (§6-1-1703)","In case high-risk AI system was deployed or was a substantial factor in making a decision adverse to a consumer, the deployer must 1) disclose how AI system contributed to the decision, type and source of data processed; 2) provide opportunity for consumer to correct incorrect personal data used in decision-making; and 3) provide opportunity for consumer to appeal the decision and, if possible, allow for human review (§6-1-1703)","Deployer_Supplier_Analysis","C41","co-sb24205:6-1-1703","verbatim_found","verbatim_found"
"match","deployer-supplier","deployer-of-high-risk-ai-systems","co","Risk management","Deployer of high-risk AI systems","Deployer of high-risk AI systems","Implement a Risk Management Policy and Program specifying principles, processes and personal used to identify, document and mitigate known or foreseeable risks of algorithmic discrimination (§6-1-1703)","Implement a Risk Management Policy and Program specifying principles, processes and personal used to identify, document and mitigate known or foreseeable risks of algorithmic discrimination (§6-1-1703)","Deployer_Supplier_Analysis","C38","co-sb24205:6-1-1703","verbatim_found","verbatim_found"
"match","deployer-supplier","deployer-of-high-risk-ai-systems","co","Scope","Deployer of high-risk AI systems","Deployer of high-risk AI systems","A person doing business that deploys a high-risk AI system that is substantial factor in a  'consequential decision' (education enrolment or an education opportunity; employment or an employment opportunity; a financial or lending service; an essential government service; health-care services; housing; insurance; or a legal service) (§6-1-1701)","A person doing business that deploys a high-risk AI system that is substantial factor in a  'consequential decision' (education enrolment or an education opportunity; employment or an employment opportunity; a financial or lending service; an essential government service; health-care services; housing; insurance; or a legal service) (§6-1-1701)","Deployer_Supplier_Analysis","C23","co-sb24205:6-1-1701","verbatim_found","verbatim_found"
"match","deployer-supplier","deployer-of-high-risk-ai-systems","co","Specific information disclosure","Deployer of high-risk AI systems","Deployer of high-risk AI systems","-","-","Deployer_Supplier_Analysis","C39","","",""
"match","deployer-supplier","deployer-of-high-risk-ai-systems","co","Temporal trigger","Deployer of high-risk AI systems","Deployer of high-risk AI systems","Before or upon putting deploying a high-risk AI system","Before or upon putting deploying a high-risk AI system","Deployer_Supplier_Analysis","C25","","",""
"missing_in_excel","deployer-supplier","deployer-of-high-risk-ai-systems","co","Term","Deployer of high-risk AI systems","","Deployer of high-risk AI systems","","","","co-sb24205:6-1-1701;co-sb24205:6-1-1703;co-sb24205:6-1-1706","verbatim_found;verbatim_found;verbatim_found","verbatim_found"
"match","deployer-supplier","deployer-of-high-risk-ai-systems","co","Transparency","Deployer of high-risk AI systems","Deployer of high-risk AI systems","Deployers must notify consumers that high-risk AI system has been deployed in the making of a consequential decision; provide statement with general description and purpose of AI system; provide information on consumer's right to opt out of personal data processing (§6-1-1703)","Deployers must notify consumers that high-risk AI system has been deployed in the making of a consequential decision; provide statement with general description and purpose of AI system; provide information on consumer's right to opt out of personal data processing (§6-1-1703)","Deployer_Supplier_Analysis","C35","co-sb24205:6-1-1703","verbatim_found","verbatim_found"
"match","deployer-supplier","deployer-of-high-risk-ai-systems","eu","AI literacy","Deployer of high-risk AI systems","Deployer of high-risk AI systems","Deployers must ensure people operating / using AI systems on their behalf have a sufficient level of AI literacy (Article 4)","Deployers must ensure people operating / using AI systems on their behalf have a sufficient level of AI literacy (Article 4)","Deployer_Supplier_Analysis","B42","eu-ai-act:4","verbatim_found","verbatim_found"
"match","deployer-supplier","deployer-of-high-risk-ai-systems","eu","Cooperation with authorities","Deployer of high-risk AI systems","Deployer of high-risk AI systems","Deployers must cooperate with authorities to implement regulation (Article 26)","Deployers must cooperate with authorities to implement regulation (Article 26)","Deployer_Supplier_Analysis","B43","","",""
"missing_in_html","deployer-supplier","deployer-of-high-risk-ai-systems","eu","Deployers of GPAI systems / Supplier of generative AI systems","","Deployer of high-risk AI systems","","EU (AIA)","Deployer_Supplier_Analysis","B53","","",""
"match","deployer-supplier","deployer-of-high-risk-ai-systems","eu","Exemptions","Deployer of high-risk AI systems","Deployer of high-risk AI systems","-","-","Deployer_Supplier_Analysis","B46","","",""
"match","deployer-supplier","deployer-of-high-risk-ai-systems","eu","General information disclosure","Deployer of high-risk AI systems","Deployer of high-risk AI systems","-","-","Deployer_Supplier_Analysis","B29","","",""
"match","deployer-supplier","deployer-of-high-risk-ai-systems","eu","Human oversight","Deployer of high-risk AI systems","Deployer of high-risk AI systems","Assign human oversight to natural persons (Article 26)","Assign human oversight to natural persons (Article 26)","Deployer_Supplier_Analysis","B40","eu-ai-act:26","verbatim_found","verbatim_found"
"match","deployer-supplier","deployer-of-high-risk-ai-systems","eu","Impact assessment","Deployer of high-risk AI systems","Deployer of high-risk AI systems","Prior to deploying high-risk AI system, deployers must conduct a fundamental rights impact assessment (FRIA) describing: intended purpose and frequency of use of the system, groups likely to be affected given deployment context, specific risks of harm identified and measures to address these, oversight measures implemented (Article 27)
Conduct data protection impact assessment, when applicable (Article 26, GDPR)","Prior to deploying high-risk AI system, deployers must conduct a fundamental rights impact assessment (FRIA) describing: intended purpose and frequency of use of the system, groups likely to be affected given deployment context, specific risks of harm identified and measures to address these, oversight measures implemented (Article 27)
Conduct data protection impact assessment, when applicable (Article 26, GDPR)","Deployer_Supplier_Analysis","B30","eu-ai-act:27","verbatim_found","verbatim_found"
"match","deployer-supplier","deployer-of-high-risk-ai-systems","eu","Impact assessment - review","Deployer of high-risk AI systems","Deployer of high-risk AI systems","-","-","Deployer_Supplier_Analysis","B33","","",""
"match","deployer-supplier","deployer-of-high-risk-ai-systems","eu","Incident / risk reporting","Deployer of high-risk AI systems","Deployer of high-risk AI systems","Deployers shall immediately inform first the provider, and then the importer or distributor and the relevant market surveillance authorities of serious incidents (Article 26)","Deployers shall immediately inform first the provider, and then the importer or distributor and the relevant market surveillance authorities of serious incidents (Article 26)","Deployer_Supplier_Analysis","B44","","",""
"match","deployer-supplier","deployer-of-high-risk-ai-systems","eu","Notification","Deployer of high-risk AI systems","Deployer of high-risk AI systems","Deployer must notify surveillance authority of results of fundamental rights impact assessment (FRIA) (Article 27)","Deployer must notify surveillance authority of results of fundamental rights impact assessment (FRIA) (Article 27)","Deployer_Supplier_Analysis","B34","eu-ai-act:27","verbatim_found","verbatim_found"
"match","deployer-supplier","deployer-of-high-risk-ai-systems","eu","Penalties","Deployer of high-risk AI systems","Deployer of high-risk AI systems","Up to €15M or 3% of total worldwide annual turnover
Up to €7M or 1% of total worldwide annual turnover for incorrect information (Article 99)","Up to €15M or 3% of total worldwide annual turnover
Up to €7M or 1% of total worldwide annual turnover for incorrect information (Article 99)","Deployer_Supplier_Analysis","B47","eu-ai-act:99","verbatim_found","verbatim_found"
"match","deployer-supplier","deployer-of-high-risk-ai-systems","eu","Rebuttal","Deployer of high-risk AI systems","Deployer of high-risk AI systems","-","-","Deployer_Supplier_Analysis","B45","","",""
"match","deployer-supplier","deployer-of-high-risk-ai-systems","eu","Registration","Deployer of high-risk AI systems","Deployer of high-risk AI systems","Deployers that are public authorities / institutions must register themselves and the use of the high-risk AI system in the EU database. Systems that have not been registered in such database must not be used by public authorities / institutions (Articles 26, 49)
Deployers of biometric identification systems must request ex ante authorisation to deploy system or within 48 hours (Article 26)","Deployers that are public authorities / institutions must register themselves and the use of the high-risk AI system in the EU database. Systems that have not been registered in such database must not be used by public authorities / institutions (Articles 26, 49)
Deployers of biometric identification systems must request ex ante authorisation to deploy system or within 48 hours (Article 26)","Deployer_Supplier_Analysis","B26","","",""
"match","deployer-supplier","deployer-of-high-risk-ai-systems","eu","Regulatory trigger","Deployer of high-risk AI systems","Deployer of high-risk AI systems","Domain-based","Domain-based","Deployer_Supplier_Analysis","B24","","",""
"match","deployer-supplier","deployer-of-high-risk-ai-systems","eu","Right to explanation","Deployer of high-risk AI systems","Deployer of high-risk AI systems","Upon request by person affected by the output of high-risk AI system and related legal impact or adverse impact on health, safety or fundamental rights, provider must clear and meaningful explanations of the role of the AI system in the decision-making procedure and the main elements of the decision taken (Article 86)","Upon request by person affected by the output of high-risk AI system and related legal impact or adverse impact on health, safety or fundamental rights, provider must clear and meaningful explanations of the role of the AI system in the decision-making procedure and the main elements of the decision taken (Article 86)","Deployer_Supplier_Analysis","B41","eu-ai-act:86","verbatim_found","verbatim_found"
"match","deployer-supplier","deployer-of-high-risk-ai-systems","eu","Risk management","Deployer of high-risk AI systems","Deployer of high-risk AI systems","Deployers must monitor operation of high-risk AI system based on instructions for used provided by provider and report  to provider and market surveillance authorities should they deem the instructions for use inadequate, representing risks (Article 26)","Deployers must monitor operation of high-risk AI system based on instructions for used provided by provider and report  to provider and market surveillance authorities should they deem the instructions for use inadequate, representing risks (Article 26)","Deployer_Supplier_Analysis","B38","","",""
"match","deployer-supplier","deployer-of-high-risk-ai-systems","eu","Scope","Deployer of high-risk AI systems","Deployer of high-risk AI systems","Natural or legal persons using AI in a professional capacity (excludes personal, non-professional use) that 1) acts as a safety component of a product, or is a product itself, covered by specific Union harmonisation legislation (e.g., machinery, toys, medical devices), and 2) are listed in any of the following areas: biometrics; critical infrastructure; educational and vocational training; employment, workers' management and access to self-employment; essential private and public services and benefits; law enforcement; migration, asylum and border control management; administration of justice and democratic processes (Articles 3, 6, Annex III)","Natural or legal persons using AI in a professional capacity (excludes personal, non-professional use) that 1) acts as a safety component of a product, or is a product itself, covered by specific Union harmonisation legislation (e.g., machinery, toys, medical devices), and 2) are listed in any of the following areas: biometrics; critical infrastructure; educational and vocational training; employment, workers' management and access to self-employment; essential private and public services and benefits; law enforcement; migration, asylum and border control management; administration of justice and democratic processes (Articles 3, 6, Annex III)","Deployer_Supplier_Analysis","B23","eu-ai-act:6;eu-ai-act:III;eu-ai-act:3;eu-ai-act:25","verbatim_found;verbatim_found;verbatim_found;verbatim_found","verbatim_found"
"match","deployer-supplier","deployer-of-high-risk-ai-systems","eu","Specific information disclosure","Deployer of high-risk AI systems","Deployer of high-risk AI systems","Keep automatically generated system logs for six months; inform worker representatives prior to deploying system (Article 26)","Keep automatically generated system logs for six months; inform worker representatives prior to deploying system (Article 26)","Deployer_Supplier_Analysis","B39","","",""
"match","deployer-supplier","deployer-of-high-risk-ai-systems","eu","Temporal trigger","Deployer of high-risk AI systems","Deployer of high-risk AI systems","Before putting into service or using a high-risk AI system","Before putting into service or using a high-risk AI system","Deployer_Supplier_Analysis","B25","","",""
